PlayerID,Player,Team,Positions,Games,GS,W,L,SV,IP,Outs,SO,BB,ERA,WHIP
808825,Andrew Sears,Detroit Tigers,P,5,3,0,1,0,17.1,52,13,7,5.19,1.56
621237,José Alvarado,Philadelphia Phillies,P,63,0,4,3,1,55.1,166,68,26,5.2,1.55
671212,Joe Boyle,Tampa Bay Rays,P,4,3,0,1,0,19.0,57,21,9,5.21,1.16
641793,Zack Littell,Arizona Diamondbacks,P,26,14,8,8,0,124.1,373,73,39,5.21,1.41
689225,Beau Brieske,Detroit Tigers,P,15,0,1,0,0,20.2,62,20,6,5.23,1.21
685126,Brandon Eisert,Pittsburgh Pirates,P,37,4,3,2,0,41.1,124,48,13,5.23,1.26
688883,Peyton Pallette,Cleveland Guardians,P,16,0,1,2,0,20.2,62,22,16,5.23,1.6
697812,Joe Rock,Athletics,P,5,0,0,1,0,10.1,31,12,13,5.23,2.42
685464,Cade Winquest,St. Louis Cardinals,P,8,0,1,0,0,10.1,31,13,5,5.23,1.16
641778,Eric Lauer,Los Angeles Dodgers,P,22,18,8,7,0,108.1,325,72,35,5.23,1.31
657756,Connor Seabold,Kansas City Royals,P,21,0,1,0,0,24.0,72,20,11,5.25,1.71
608566,Germán Márquez,San Diego Padres,P,13,10,4,2,1,53.0,159,37,24,5.26,1.49
500779,Jose Quintana,Colorado Rockies,P,9,9,2,3,0,41.0,123,20,17,5.27,1.51
683004,Jack Leiter,Texas Rangers,P,15,15,3,7,0,80.0,240,83,35,5.29,1.44
656605,Mitch Keller,Pittsburgh Pirates,P,22,22,6,8,0,115.2,347,89,42,5.29,1.37
689441,Coleman Crow,Milwaukee Brewers,P,5,4,0,1,0,18.2,56,10,6,5.3,1.45
621053,Tyler Ferguson,Chicago Cubs,P,18,0,0,1,0,18.2,56,21,4,5.3,1.02
675911,Spencer Strider,Atlanta Braves,P,8,8,4,2,0,39.0,117,46,20,5.31,1.36
